Uuid,Void/Retire,Name,Duration,Service Definition
7016bc77-c80c-4a46-9730-0e63dadfe7af,,Consulta médica general,20,7ba3aa21-cc56-47ca-bb4d-a60549f666c0
e25f9042-b8c9-4fd6-9023-c322dc930ea4,,Teleconsulta médica,20,1ef43565-9c96-4f58-bfd2-c864c7cedac1
72d1e17a-db74-493a-8c45-05efb07723a7,,Atención de enfermería,20,4ec5c4fe-cfe0-48ff-9e4d-2f201078feae
2e0925d5-36f0-455b-9b24-f72eeae84bcd,,Consulta psicológica,45,c8d4f6e2-5b7a-41d9-93e4-7f6a8b3c2d01
f2c75953-5682-43d7-a6a3-6457ccda5ce7,,Consulta obstétrica,30,a6d7f9b3-2c5e-48d1-93e4-7f8a6b5c2d02
fa4a2d1c-d0bc-4e26-9a59-a5dd9a8fea91,,Consulta odontológica,30,b3c2d4e5-f6a7-48d9-93e1-8f7a6b5c4d02
dbf4e832-0527-46f2-aa5a-76d7a9d1151a,,Procedimiento de tópico,15,d4e5f6a7-b8c9-41e2-93f3-1a9b8c7d6e04
7dc58699-5960-4f4c-b260-2ded1d410c8d,,Atención inmediata neonatal,30,f7a8b9c0-d1e2-43f4-93e5-3b1a9c8d7e06
b263e87b-60a3-4d5a-afcd-988d93216fd4,,Programación quirúrgica,60,115b9e98-0bb4-4791-afa6-d21d071cfd87
93d94dd0-4ef9-4749-b936-670438879bb1,,Procedimiento de laboratorio,15,e6a43c30-71ac-4ec6-9757-c78a50ee8e8b
bac05992-8ab4-4dd8-87ea-464ec4898561,,Estudio de imágenes,30,70b7402d-fdfe-4707-94d8-5eb5780ffde5
898a6dfb-aaea-40fb-97b7-95935c2b5eec,,Atención farmacéutica,15,74156b5c-b1b0-4432-b073-a8af65ebcb11
f94a040f-b6e5-4315-927c-84058f3eeba4,,Terapia de rehabilitación,45,dcaa59d1-64f2-45f5-a930-2ccc0ef37e61
6c84de9c-117e-4778-9415-d01e5653da51,,Sesión de hemodiálisis,240,89bde58b-2161-4095-8e52-0d8b5003012b
04f3ac2f-6bfa-4807-8ef3-72164d69d6eb,,Consulta nutricional,30,3663f478-80fb-4585-b92f-7f82873198ee
