Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
c3de948e-6737-40de-8ed4-0162b20818af,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito en % 0 - < 29 dys,0,30,50,58,70,100,	$patient.getAgeInDays() <= 28
dce6ab3f-b70f-4127-93ee-15ab303e2de0,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito en % 28dys - <2 yrs,0,20,37,42,60,100,	$patient.getAgeInDays() > 28 && $patient.getAge() <= 1
16d28713-1ccb-439f-bf7e-bda702572fa8,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito en % 2 yrs - <15 yrs,0,20,38,44,60,100,	$patient.getAge() > 1 && $patient.getAge() <= 14
3cceb9a9-05e5-45c1-83b4-0dc20a196f16,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito en %  mujer > 14 yrs,0,20,38,44,60,100,	$patient.getGender().equals(""F"") && $patient.getAge() > 14
aef7e0e0-e63b-4fe5-a882-21ec1ac78421,9a9c73d0-76e6-4b84-b20c-dfe8efea9542,Hematocrito en %  hombre > 14 yrs,0,20,40,50,65,100,	$patient.getGender().equals(""M"") && $patient.getAge() > 14
f0c6d3dc-a0d2-497c-921f-b7266d448fcf,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 0 - <6 wks,0,10.8,13.5,19.5,23.4,29.25,$patient.getAgeInWeeks() < 6
a769e98e-e91f-4d4c-b029-1c66e267f32a,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 6 - <1 yrs,0,8.4,10.5,13.5,16.2,20.25,$patient.getAgeInWeeks() >= 6 && $patient.getAge() < 1
0502ff16-270e-423f-8fa6-95255fdc9b19,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 1 - <2 yrs,0,8.8,11,13.5,16.2,20.25,$patient.getAge() >= 1 && $patient.getAge() < 2
a75289e3-427c-4e14-ad67-50fc34dcc733,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 2 - <6 yrs,0,9.2,11.5,13.5,16.2,20.25,$patient.getAge() >= 2 && $patient.getAge() < 6
539619f8-19ff-4063-9f6a-03a8d9331012,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 6 - <13 yrs,0,9.6,12,14.5,17.4,21.75,$patient.getAge() >= 6 && $patient.getAge() < 13
