Uuid,Void/Retire,Fully specified name:es,Description:es,Data class,Data type,Mappings|SAME-AS,_version:1,_order:3600
c2380000-0000-4000-8000-000000000000,,SIHCE - CRED Huanca y desarrollo infantil,Concepto agrupador para vigilancia del neurodesarrollo CRED segun NTS 238-MINSA/DGIESP-2025.,Misc,N/A,,,
c2380001-0000-4000-8000-000000000001,,Instrumento de vigilancia del desarrollo CRED,Instrumento aplicado para vigilancia o tamizaje del desarrollo infantil en CRED.,Question,Coded,,,
c2380002-0000-4000-8000-000000000002,,Edad cronologica en dias,Edad cronologica calculada en dias al momento de la evaluacion.,Question,Numeric,,,
c2380003-0000-4000-8000-000000000003,,Edad corregida en dias,Edad corregida en dias para ninos prematuros menores de 2 anos.,Question,Numeric,,,
c2380004-0000-4000-8000-000000000004,,Semanas de prematuridad,Semanas de prematuridad calculadas como 40 semanas menos edad gestacional al nacer.,Question,Numeric,,,
c2380005-0000-4000-8000-000000000005,,Preocupacion del cuidador sobre desarrollo,Preocupacion o inquietud del cuidador sobre desarrollo comportamiento habla o aprendizaje.,Question,Coded,,,
c2380006-0000-4000-8000-000000000006,,Descripcion de preocupacion del cuidador,Detalle de preocupaciones del cuidador sobre desarrollo comportamiento habla o aprendizaje.,Question,Text,,,
c2380007-0000-4000-8000-000000000007,,Regresion de habilidades,Perdida de una habilidad previamente adquirida segun cuidador o evaluador.,Question,Coded,,,
c2380008-0000-4000-8000-000000000008,,Descripcion de regresion de habilidades,Detalle de habilidades perdidas o regresion observada.,Question,Text,,,
c2380009-0000-4000-8000-000000000009,,Pauta de edad Huanca Test,Pauta de edad aplicada para Huanca Test adaptado.,Question,Coded,,,
c2380010-0000-4000-8000-000000000010,,Fuente de evaluacion de hito,Fuente principal usada para calificar hitos del desarrollo.,Question,Coded,,,
c2380011-0000-4000-8000-000000000011,,Hitos no logrados motor grueso,Numero de hitos no logrados en area motor grueso.,Question,Numeric,,,
c2380012-0000-4000-8000-000000000012,,Hitos no logrados motor fino,Numero de hitos no logrados en area motor fino.,Question,Numeric,,,
c2380013-0000-4000-8000-000000000013,,Hitos no logrados social,Numero de hitos no logrados en area social.,Question,Numeric,,,
c2380014-0000-4000-8000-000000000014,,Hitos no logrados cognitivo,Numero de hitos no logrados en area cognitivo.,Question,Numeric,,,
c2380015-0000-4000-8000-000000000015,,Hitos no logrados habla,Numero de hitos no logrados en area habla.,Question,Numeric,,,
c2380016-0000-4000-8000-000000000016,,Detalle motor grueso Huanca,Detalle de hitos evaluados o no logrados en motor grueso.,Question,Text,,,
c2380017-0000-4000-8000-000000000017,,Detalle motor fino Huanca,Detalle de hitos evaluados o no logrados en motor fino.,Question,Text,,,
c2380018-0000-4000-8000-000000000018,,Detalle social Huanca,Detalle de hitos evaluados o no logrados en area social.,Question,Text,,,
c2380019-0000-4000-8000-000000000019,,Detalle cognitivo Huanca,Detalle de hitos evaluados o no logrados en area cognitivo.,Question,Text,,,
c2380020-0000-4000-8000-000000000020,,Detalle habla Huanca,Detalle de hitos evaluados o no logrados en area habla.,Question,Text,,,
c2380021-0000-4000-8000-000000000021,,Total de hitos no logrados Huanca,Total de hitos no logrados en la pauta de edad aplicada.,Question,Numeric,,,
c2380022-0000-4000-8000-000000000022,,Resultado Huanca Test,Interpretacion de vigilancia del neurodesarrollo con Huanca Test adaptado.,Question,Coded,,,
c2380023-0000-4000-8000-000000000023,,Accion inmediata Huanca,Accion inmediata indicada segun resultado del Huanca Test adaptado.,Question,Coded,,,
c2380024-0000-4000-8000-000000000024,,Consejeria en desarrollo infantil,Consejeria brindada para estimular el area en riesgo o promover desarrollo infantil.,Question,Text,,,
c2380025-0000-4000-8000-000000000025,,Atencion temprana del desarrollo programada,Indica si se programaron sesiones semanales de atencion temprana del desarrollo.,Question,Coded,,,
c2380026-0000-4000-8000-000000000026,,Fecha de reevaluacion del desarrollo,Fecha programada para reevaluar hito o desarrollo infantil.,Question,Date,,,
c2380027-0000-4000-8000-000000000027,,Requiere prueba EDI,Indica si corresponde aplicar prueba EDI segun hallazgo de vigilancia del desarrollo.,Question,Coded,,,
c2380028-0000-4000-8000-000000000028,,Requiere interconsulta por desarrollo,Indica si requiere interconsulta derivacion o referencia por desarrollo infantil.,Question,Coded,,,
c2380029-0000-4000-8000-000000000029,,Observaciones Huanca Test,Observaciones clinicas de vigilancia del neurodesarrollo con Huanca Test.,Question,Text,,,
c2380030-0000-4000-8000-000000000030,,Pauta de edad habilidades y conductas,Pauta de edad aplicada para lista de habilidades y conductas esperadas.,Question,Coded,,,
c2380031-0000-4000-8000-000000000031,,Ausencia en desarrollo motor sensorial,Ausencia de habilidades o conductas esperadas en desarrollo motor y sensorial.,Question,Coded,,,
