Uuid,Void/Retire,Fully specified name:es,Description:es,Data class,Data type,Mappings|SAME-AS,_version:1,_order:3400
f0000201-0000-4000-8000-000000000201,,SIH.SALUS - SOAP plan y plan de tratamiento,Campo texto para plan SOAP o plan de tratamiento en formularios de consulta.,Question,Text,SIHSALUS:FORM_SOAP_PLAN,,
f0000202-0000-4000-8000-000000000202,,SIH.SALUS - SOAP subjetivo,Campo texto para componente subjetivo SOAP en formularios de consulta.,Question,Text,SIHSALUS:FORM_SOAP_SUBJECTIVE,,
f0000203-0000-4000-8000-000000000203,,SIH.SALUS - Motivo de referencia texto,Campo texto para motivo de referencia o contrarreferencia.,Question,Text,SIHSALUS:FORM_REFERRAL_REASON_TEXT,,
f0000204-0000-4000-8000-000000000204,,SIH.SALUS - Ordenes de laboratorio texto,Campo texto para ordenes de laboratorio o examenes auxiliares.,Question,Text,SIHSALUS:FORM_LAB_ORDERS_TEXT,,
f0000205-0000-4000-8000-000000000205,,SIH.SALUS - Referencia interconsulta texto,Campo texto para referencia o interconsulta.,Question,Text,SIHSALUS:FORM_REFERRAL_INTERCONSULT_TEXT,,
f0000206-0000-4000-8000-000000000206,,SIH.SALUS - Procedimientos CPMS texto,Campo texto para procedimientos CPMS registrados en consulta.,Question,Text,SIHSALUS:FORM_CPMS_PROCEDURES_TEXT,,
f0000207-0000-4000-8000-000000000207,,SIH.SALUS - Ocurrencia de diagnostico,Pregunta codificada para indicar si un diagnostico es nuevo o repetido.,Question,Coded,SIHSALUS:FORM_DIAGNOSIS_OCCURRENCE,,
f0000208-0000-4000-8000-000000000208,,SIH.SALUS - Diagnostico nuevo,Respuesta para diagnostico nuevo.,Misc,N/A,SIHSALUS:FORM_DIAGNOSIS_NEW,,
f0000209-0000-4000-8000-000000000209,,SIH.SALUS - Diagnostico repetido,Respuesta para diagnostico repetido.,Misc,N/A,SIHSALUS:FORM_DIAGNOSIS_REPEATED,,
400ebbfe-bdb6-42b8-a783-226e027e2e05,,SIH.SALUS - Sesion de psicoprofilaxis,Pregunta codificada para sesion de psicoprofilaxis obstetrica.,Question,Coded,SIHSALUS:FORM_PSYCHOPROPHYLAXIS_SESSION,,
f0000211-0000-4000-8000-000000000211,,SIH.SALUS - Psicoprofilaxis sesion 1,Respuesta para sesion 1 de psicoprofilaxis obstetrica.,Misc,N/A,SIHSALUS:FORM_PSYCHOPROPHYLAXIS_SESSION_1,,
f0000212-0000-4000-8000-000000000212,,SIH.SALUS - Psicoprofilaxis sesion 2,Respuesta para sesion 2 de psicoprofilaxis obstetrica.,Misc,N/A,SIHSALUS:FORM_PSYCHOPROPHYLAXIS_SESSION_2,,
f0000213-0000-4000-8000-000000000213,,SIH.SALUS - Asistio acompanante psicoprofilaxis,Pregunta codificada para asistencia de acompanante en psicoprofilaxis.,Question,Coded,SIHSALUS:FORM_PSYCHOPROPHYLAXIS_COMPANION_ATTENDED,,
f0000215-0000-4000-8000-000000000215,,SIH.SALUS - Prescripciones medicamentos texto,Campo texto para prescripciones o medicamentos indicados.,Question,Text,SIHSALUS:FORM_PRESCRIPTIONS_TEXT,,
c093c0ec-d1fd-406f-8c65-eeb079665853,,SIH.SALUS - Diagnosticos obstetricos texto,Campo texto para diagnosticos en formularios obstetricos y hospitalarios.,Question,Text,SIHSALUS:FORM_OBSTETRIC_DIAGNOSES_TEXT,,
0990c088-3bee-4caa-8219-25b272c80324,,SIH.SALUS - Planificacion familiar posparto,Pregunta codificada para metodos de planificacion familiar posparto.,Question,Coded,SIHSALUS:FORM_POSTPARTUM_FAMILY_PLANNING,,
0418354f-87fb-4a70-b484-0a2f3d6d33c1,,SIH.SALUS - Dengue obstetrico texto,Campo texto para antecedente o condicion de dengue en formulario obstetrico.,Question,Text,SIHSALUS:FORM_OBSTETRIC_DENGUE_TEXT,,
c21bb6b0-83eb-4ab8-92b1-d8a4b501b320,,SIH.SALUS - Examenes complementarios epicrisis,Campo texto para examenes complementarios en epicrisis.,Question,Text,SIHSALUS:FORM_EPICRISIS_COMPLEMENTARY_EXAMS,,
ca0e2569-a580-4b47-b18d-61710d7f59d2,,SIH.SALUS - Cuello uterino texto,Campo texto para descripcion de cuello uterino en parto.,Question,Text,SIHSALUS:FORM_CERVIX_TEXT,,
a6d87a4d-00a2-406e-8162-aaf9a4b4ebc8,,SIH.SALUS - Ano recien nacido,Respuesta codificada para ano en evaluacion del recien nacido.,Misc,N/A,SIHSALUS:FORM_NEWBORN_ANUS,,
