Uuid,Void/Retire,Fully specified name:es,Description:es,Data class,Data type,Mappings|SAME-AS,_version:1,_order:3100
c1130000-0000-4000-8000-000000000101,,Snapshot de odontograma,Representación JSON del estado visual del odontograma capturado por la UI especializada de SIH.SALUS.,Question,Text,SIHSALUS:ODONTOGRAM_SNAPSHOT,,
c1130000-0000-4000-8000-000000000102,,Tipo de registro de odontograma,Tipo operativo del registro de odontograma: base o atención.,Question,Text,SIHSALUS:ODONTOGRAM_RECORD_TYPE,,
c1130000-0000-4000-8000-000000000103,,Odontograma base relacionado,UUID del encounter del odontograma base relacionado con una atención odontológica.,Question,Text,SIHSALUS:ODONTOGRAM_PARENT_BASE,,
c1130000-0000-4000-8000-000000000104,,Tipo de atención odontológica,Tipo operativo de la atención odontológica brindada en la consulta.,Question,Coded,SIHSALUS:ODONT_ATTENTION_TYPE,,
c1130000-0000-4000-8000-000000000105,,Antecedentes estomatológicos,Antecedentes estomatológicos relevantes referidos por la persona o su cuidador.,Question,Text,SIHSALUS:ODONT_DENTAL_HISTORY,,
c1130000-0000-4000-8000-000000000106,,Índice CPO-D,Índice de dientes permanentes cariados perdidos y obturados.,Question,Numeric,SIHSALUS:ODONT_CPOD_INDEX,,
c1130000-0000-4000-8000-000000000107,,Índice ceo-d,Índice de dientes temporales cariados con indicación de extracción y obturados.,Question,Numeric,SIHSALUS:ODONT_CEOD_INDEX,,
c1130000-0000-4000-8000-000000000108,,Índice de higiene oral simplificado,Resultado del índice de higiene oral simplificado (IHOS).,Question,Coded,SIHSALUS:ODONT_OHI_S,,
c1130000-0000-4000-8000-000000000109,,Riesgo estomatológico,Nivel de riesgo estomatológico estimado en la atención odontológica.,Question,Coded,SIHSALUS:ODONT_RISK,,
c1130000-0000-4000-8000-000000000110,,Actividad preventiva odontológica,Actividad preventiva promocional principal realizada en la atención odontológica.,Question,Coded,SIHSALUS:ODONT_PREVENTIVE_ACTIVITY,,
c1130000-0000-4000-8000-000000000111,,Procedimiento recuperativo odontológico,Procedimiento recuperativo principal realizado en la atención odontológica.,Question,Coded,SIHSALUS:ODONT_RESTORATIVE_PROCEDURE,,
c1130000-0000-4000-8000-000000000112,,Detalle de procedimientos odontológicos,Detalle de los procedimientos y actividades odontológicas realizadas en la atención.,Question,Text,SIHSALUS:ODONT_PROCEDURE_DETAIL,,
c1130000-0000-4000-8000-000000000113,,Piezas dentarias tratadas,Piezas dentarias intervenidas durante la atención odontológica.,Question,Text,SIHSALUS:ODONT_TREATED_TEETH,,
c1130000-0000-4000-8000-000000000114,,Disposición de la atención odontológica,Disposición o conducta al cierre de la atención odontológica.,Question,Coded,SIHSALUS:ODONT_DISPOSITION,,
c1130000-0000-4000-8000-000000000120,,Atención odontológica preventiva promocional,Atención odontológica de carácter preventivo promocional.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000121,,Atención odontológica recuperativa,Atención odontológica de carácter recuperativo.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000122,,Atención odontológica de emergencia,Atención odontológica de emergencia o urgencia estomatológica.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000123,,Atención odontológica especializada,Atención odontológica especializada o referida.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000130,,Higiene oral buena,Higiene oral buena según índice de higiene oral simplificado.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000131,,Higiene oral regular,Higiene oral regular según índice de higiene oral simplificado.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000132,,Higiene oral mala,Higiene oral mala según índice de higiene oral simplificado.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000140,,Riesgo estomatológico bajo,Riesgo estomatológico bajo.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000141,,Riesgo estomatológico moderado,Riesgo estomatológico moderado.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000142,,Riesgo estomatológico alto,Riesgo estomatológico alto.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000150,,Instrucción de higiene oral,Instrucción de higiene oral y técnica de cepillado.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000151,,Profilaxis dental,Profilaxis dental o limpieza profesional.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000152,,Aplicación de flúor barniz o gel,Aplicación tópica de flúor en barniz o gel.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000153,,Sellantes de fosas y fisuras,Colocación de sellantes de fosas y fisuras.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000154,,Aplicación de fluoruro diamino de plata,Aplicación de fluoruro diamino de plata.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000155,,Destartraje o raspaje supragingival,Destartraje o raspaje supragingival.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000156,,Sin actividad preventiva,No se realizó actividad preventiva en la atención.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000160,,Restauración con ionómero de vidrio,Restauración dental con ionómero de vidrio.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000161,,Restauración con resina,Restauración dental con resina compuesta.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000162,,Restauración con amalgama,Restauración dental con amalgama.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000163,,Pulpotomía,Pulpotomía.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000164,,Pulpectomía,Pulpectomía.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000165,,Exodoncia simple,Exodoncia o extracción dental simple.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000166,,Tratamiento periodontal,Tratamiento periodontal.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000167,,Sin procedimiento recuperativo,No se realizó procedimiento recuperativo en la atención.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000170,,Continúa tratamiento odontológico,La persona continúa en tratamiento odontológico.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000171,,Alta odontológica,Alta del tratamiento odontológico.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000172,,Referencia a especialidad odontológica,Referencia a una especialidad odontológica.,Misc,N/A,,,
c1130000-0000-4000-8000-000000000173,,Interconsulta odontológica,Interconsulta a otra especialidad desde odontología.,Misc,N/A,,,
