Uuid,Void/Retire,Fully specified name:es,Description:es,Data class,Data type,Mappings|SAME-AS,_version:1,_order:3200
f1000000-0000-4000-8000-000000000000,,SIHCE - PSICOLOGIA,Concepto agrupador para formularios de psicologia y salud mental comunitaria.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000001,,Modalidad de ingreso a salud mental,Forma de ingreso de la persona a la atencion de salud mental.,Question,Coded,,,
f1000000-0000-4000-8000-000000000002,,Motivo de atencion psicologica,Motivo principal de consulta o demanda psicologica.,Question,Text,,,
f1000000-0000-4000-8000-000000000003,,Antecedentes de salud mental,Antecedentes personales o familiares de salud mental y tratamientos previos.,Question,Text,,,
f1000000-0000-4000-8000-000000000004,,Contexto familiar social y comunitario,Descripcion del soporte familiar social educativo laboral y comunitario.,Question,Text,,,
f1000000-0000-4000-8000-000000000005,,Examen mental,Hallazgos del examen mental observados durante la evaluacion psicologica.,Question,Text,,,
f1000000-0000-4000-8000-000000000006,,Riesgo suicida o autolesivo,Nivel de riesgo suicida o autolesivo identificado.,Question,Coded,,,
f1000000-0000-4000-8000-000000000007,,Riesgo de violencia o desproteccion,Nivel de riesgo de violencia desproteccion o afectacion de terceros.,Question,Coded,,,
f1000000-0000-4000-8000-000000000008,,Consumo de alcohol u otras sustancias,Estado del consumo de alcohol u otras sustancias psicoactivas.,Question,Coded,,,
f1000000-0000-4000-8000-000000000009,,Problema priorizado de salud mental,Problema de salud mental priorizado en la atencion.,Question,Coded,,,
f1000000-0000-4000-8000-000000000010,,Severidad clinica psicosocial,Nivel de severidad clinica o psicosocial del caso.,Question,Coded,,,
f1000000-0000-4000-8000-000000000011,,Diagnostico CIE-10 de salud mental,Diagnostico de salud mental registrado en texto y codigo CIE-10 cuando aplique.,Question,Text,,,
f1000000-0000-4000-8000-000000000012,,Formulacion psicologica,Formulacion psicologica del caso factores predisponentes precipitantes perpetuantes y protectores.,Question,Text,,,
f1000000-0000-4000-8000-000000000013,,Plan de atencion individualizado de salud mental,Plan de atencion individualizado acordado con la persona familia o red de apoyo.,Question,Text,,,
f1000000-0000-4000-8000-000000000014,,Objetivos terapeuticos,Objetivos terapeuticos priorizados en el plan de atencion individualizado.,Question,Text,,,
f1000000-0000-4000-8000-000000000015,,Intervenciones planificadas de salud mental,Intervenciones psicologicas familiares comunitarias o intersectoriales planificadas.,Question,Text,,,
f1000000-0000-4000-8000-000000000016,,Participacion de familia cuidadores o comunidad,Participacion prevista de familia cuidadores red comunitaria o instituciones de apoyo.,Question,Text,,,
f1000000-0000-4000-8000-000000000017,,Frecuencia de seguimiento en salud mental,Frecuencia propuesta para seguimiento de salud mental.,Question,Text,,,
f1000000-0000-4000-8000-000000000018,,Indicadores de seguimiento del PAI,Indicadores o criterios para evaluar avance del plan de atencion individualizado.,Question,Text,,,
f1000000-0000-4000-8000-000000000019,,Tipo de intervencion psicologica,Tipo de intervencion psicologica realizada en la sesion.,Question,Coded,,,
f1000000-0000-4000-8000-000000000020,,Modalidad de atencion de salud mental,Modalidad de prestacion de la atencion de salud mental.,Question,Coded,,,
f1000000-0000-4000-8000-000000000021,,Numero de sesion psicologica,Numero correlativo de sesion psicologica o psicoterapeutica.,Question,Numeric,,,
f1000000-0000-4000-8000-000000000022,,Duracion de sesion en minutos,Duracion de la sesion de salud mental en minutos.,Question,Numeric,,,
f1000000-0000-4000-8000-000000000023,,Objetivo de la sesion,Objetivo especifico trabajado durante la sesion de salud mental.,Question,Text,,,
f1000000-0000-4000-8000-000000000024,,Tecnicas o acciones realizadas,Tecnicas psicologicas acciones de consejeria o intervenciones realizadas.,Question,Text,,,
f1000000-0000-4000-8000-000000000025,,Evolucion de salud mental,Evolucion clinica psicosocial observada durante el seguimiento.,Question,Text,,,
f1000000-0000-4000-8000-000000000026,,Acuerdos o tareas terapeuticas,Acuerdos tareas indicaciones o compromisos establecidos con la persona o familia.,Question,Text,,,
f1000000-0000-4000-8000-000000000027,,Proxima accion de salud mental,Accion prevista al cierre de la atencion de salud mental.,Question,Coded,,,
f1000000-0000-4000-8000-000000000028,,Instrumento de tamizaje de salud mental,Instrumento utilizado para tamizaje de salud mental o riesgo psicosocial.,Question,Coded,,,
f1000000-0000-4000-8000-000000000029,,Puntaje de tamizaje de salud mental,Puntaje total registrado para el instrumento de tamizaje aplicado.,Question,Numeric,,,
f1000000-0000-4000-8000-000000000030,,Resultado de tamizaje de salud mental,Resultado global del tamizaje de salud mental o riesgo psicosocial.,Question,Coded,,,
f1000000-0000-4000-8000-000000000031,,Observaciones de tamizaje de salud mental,Observaciones relevantes del tamizaje de salud mental.,Question,Text,,,
f1000000-0000-4000-8000-000000000101,,Demanda espontanea,Ingreso por demanda espontanea de la persona o familia.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000102,,Referencia o interconsulta,Ingreso por referencia o interconsulta desde otro servicio o establecimiento.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000103,,Seguimiento programado,Ingreso por seguimiento previamente programado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000104,,Emergencia o riesgo,Ingreso por emergencia o riesgo identificado.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000111,,Riesgo no identificado,Riesgo no identificado durante la evaluacion.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000112,,Riesgo bajo,Riesgo bajo identificado durante la evaluacion.,Misc,N/A,,,
f1000000-0000-4000-8000-000000000113,,Riesgo moderado,Riesgo moderado identificado durante la evaluacion.,Misc,N/A,,,
