Uuid,Void/Retire,Fully specified name:es,Fully specified name:en,Short name:es,Short name:en,Description:es,Data class,Data type,Mappings|SAME-AS|SIHSALUS,_version:1,_order:1010
1975805f-a096-4583-aacc-ab439c79e1cd,,SCL-01 - Barrio Santa Rosa,SCL-01 - Santa Rosa neighborhood,Barrio Santa Rosa,Santa Rosa neighborhood,Barrio local de Santa Clotilde.,Misc,N/A,SCL-01,,
6db9db1a-b772-4cc7-b261-41ea0957e0f7,,SCL-02 - Barrio San Juan Bautista,SCL-02 - San Juan Bautista neighborhood,Barrio San Juan Bautista,San Juan Bautista neighborhood,Barrio local de Santa Clotilde.,Misc,N/A,SCL-02,,
d31430ca-4892-43b9-aba5-0f0c51aea497,,SCL-03 - Barrio Fray Martín,SCL-03 - Fray Martín neighborhood,Barrio Fray Martín,Fray Martín neighborhood,Barrio local de Santa Clotilde.,Misc,N/A,SCL-03,,
4f0c3fd5-100f-4d2e-9478-100169d952da,,SCL-04 - Barrio Jorge Chávez,SCL-04 - Jorge Chávez neighborhood,Barrio Jorge Chávez,Jorge Chávez neighborhood,Barrio local de Santa Clotilde.,Misc,N/A,SCL-04,,
30a01fac-2c8e-4313-b675-3c389a255db5,,SCL-05 - Barrio San Antonia,SCL-05 - San Antonia neighborhood,Barrio San Antonia,San Antonia neighborhood,Barrio local de Santa Clotilde.,Misc,N/A,SCL-05,,
4bc7352e-f2b1-4e4b-a625-ca1d043e10a9,,SCL-06 - Barrio Señor de los Milagros,SCL-06 - Señor de los Milagros neighborhood,Barrio Señor de los Milagros,Señor de los Milagros neighborhood,Barrio local de Santa Clotilde.,Misc,N/A,SCL-06,,
a65d66bd-b0a6-4ada-9270-e55ba200e4ca,,SCL-07 - Barrio Jaime Carranza,SCL-07 - Jaime Carranza neighborhood,Barrio Jaime Carranza,Jaime Carranza neighborhood,Barrio local de Santa Clotilde.,Misc,N/A,SCL-07,,
b77b4e56-64c7-427f-9d6b-87ce54291653,,SCL-08 - Barrio Santa Elisa,SCL-08 - Santa Elisa neighborhood,Barrio Santa Elisa,Santa Elisa neighborhood,Barrio local de Santa Clotilde.,Misc,N/A,SCL-08,,
81fc260c-9a5f-4182-b7ac-d50f0960370b,,SCL-09 - Barrio 28 de Julio,SCL-09 - 28 de Julio neighborhood,Barrio 28 de Julio,28 de Julio neighborhood,Barrio local de Santa Clotilde.,Misc,N/A,SCL-09,,
ef33a561-cdea-4218-a360-723d16ccdd08,,SCL-10 - Barrio Nueva Primavera,SCL-10 - Nueva Primavera neighborhood,Barrio Nueva Primavera,Nueva Primavera neighborhood,Barrio local de Santa Clotilde.,Misc,N/A,SCL-10,,
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,,Barrios de Santa Clotilde,Santa Clotilde neighborhoods,Barrios de Santa Clotilde,Santa Clotilde neighborhoods,Catálogo local de barrios de Santa Clotilde.,ConvSet,N/A,SCL-BARRIOS,,
