Uuid,Fully specified name:es,Fully specified name:en,Data class,Data type,_order:650
160433AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Estado del resultado del paciente,Estado del resultado del paciente,Question,Coded,
2a02edb2-ac4e-4c6a-b72c-383b019ed6b5,Activo,Activo,Misc,N/A,
a5055c71-200a-4f46-8077-77f9cd14a035,Fase de Seguimiento,Fase de Seguimiento,Misc,N/A,
0e1b0a11-2521-4de2-8883-3ebfeb792bb6,Paciente de Alta,Paciente de Alta,Misc,N/A,
c55d6d9d-213d-41f4-871c-41bf013e95f1,Abandono,Abandono,Misc,N/A,
6a1214d4-b30c-4569-9a32-85d81724c62f,Control Prenatal,Control Prenatal,Misc,Coded,
c6567881-4659-4624-8adf-ba0c15cbc4c6,Parto,Parto,Misc,Coded,
de9148ac-2f2f-43d2-a259-4af3d4263168,Puerperal,Puerperal,Misc,N/A,
b8723c0f-b7e5-4ab2-bda6-dc59616a428e,Tratamiento,Tratamiento,Question,Text,
69a1f91a-3e62-467a-bd5b-3cf1c1e417e3,Una vez diario,Una vez diario,Frequency,N/A,
05384252-fd36-48c1-99c1-a90a2c3ca30c,Cada dos horas,Cada dos horas,Frequency,N/A,
58210805-79af-4e08-82b7-60490c2f9dd6,Dos veces por día,Dos veces por día,Frequency,N/A,
5852a67e-4342-45d1-bd05-55b855dcbe81,Tres veces al día,Tres veces al día,Frequency,N/A,
f251fa35-0401-4994-b112-67260d590278,Cada seis horas,Cada seis horas,Frequency,N/A,
383770ca-eb24-4471-b391-87ff1095aa65,Cada cuatro horas,Cada cuatro horas,Frequency,N/A,
e5677c41-9c1e-4cd5-a0e2-8dc7df794e98,Cada tres horas,Cada tres horas,Frequency,N/A,
ab7d33d7-7eed-48f7-a452-57e889e988c5,Cada doce horas,Cada doce horas,Frequency,N/A,
4ade3f6a-f0fd-4165-a3b6-c30a5a2cda3e,Cada hora,Cada hora,Frequency,N/A,
