Concept,Member,Member Type,Sort Weight,_version:1,_order:1010
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,1975805f-a096-4583-aacc-ab439c79e1cd,concept-set,10,,
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,6db9db1a-b772-4cc7-b261-41ea0957e0f7,concept-set,20,,
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,d31430ca-4892-43b9-aba5-0f0c51aea497,concept-set,30,,
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,4f0c3fd5-100f-4d2e-9478-100169d952da,concept-set,40,,
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,30a01fac-2c8e-4313-b675-3c389a255db5,concept-set,50,,
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,4bc7352e-f2b1-4e4b-a625-ca1d043e10a9,concept-set,60,,
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,a65d66bd-b0a6-4ada-9270-e55ba200e4ca,concept-set,70,,
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,b77b4e56-64c7-427f-9d6b-87ce54291653,concept-set,80,,
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,81fc260c-9a5f-4182-b7ac-d50f0960370b,concept-set,90,,
0fd3e744-6d2c-4cb3-9b7e-1f88899635d9,ef33a561-cdea-4218-a360-723d16ccdd08,concept-set,100,,
