Concept,Member,Member Type,Sort Weight,_version:1,_order:1100
f9840000-0000-4000-8000-000000000984,69aa268a-6756-4251-b943-381f8a8d4039,CONCEPT-SET,1,,
f9840000-0000-4000-8000-000000000984,b7e7821a-c48e-4f59-b483-b6d52ffcfd43,CONCEPT-SET,2,,
f9840000-0000-4000-8000-000000000984,30987613-bfb8-4ae9-9b12-f1bb5c7d0c0b,CONCEPT-SET,3,,
f9840000-0000-4000-8000-000000000984,9e246930-534e-48ce-aa47-391afc439841,CONCEPT-SET,4,,
f9840000-0000-4000-8000-000000000984,c37cad69-d9d9-4bcb-abcb-54e301d12766,CONCEPT-SET,5,,
f9840000-0000-4000-8000-000000000984,7ec32472-b8ad-4624-8b71-347e351328c2,CONCEPT-SET,6,,
f9840000-0000-4000-8000-000000000984,57a121a7-97ff-479b-be51-ab64c80a8dda,CONCEPT-SET,7,,
f9840000-0000-4000-8000-000000000984,9e6498c7-db39-4cc5-9d94-2c2639320e3e,CONCEPT-SET,8,,
f9840000-0000-4000-8000-000000000984,0e8354b6-2a33-4eca-b274-d5cf93b0c9f5,CONCEPT-SET,9,,
f9840000-0000-4000-8000-000000000984,d9ff1e03-1d0c-4a17-8951-2d66632dc7d7,CONCEPT-SET,10,,
f9840000-0000-4000-8000-000000000984,e8fdde3a-b5b8-4eef-8aab-2940784e0eaa,CONCEPT-SET,11,,
f9840000-0000-4000-8000-000000000984,a604c8a2-99cf-41a9-a237-ef3a24b19955,CONCEPT-SET,12,,
f9840000-0000-4000-8000-000000000984,6d5d56f7-d53e-4c82-8e44-7c4be26c034f,CONCEPT-SET,13,,
f9840000-0000-4000-8000-000000000984,887a6d7a-3553-404e-b770-b4072b61d1ca,CONCEPT-SET,14,,
f9840000-0000-4000-8000-000000000984,0dc4c496-5040-4c95-b5b4-a0344ff73856,CONCEPT-SET,15,,
f9840000-0000-4000-8000-000000000984,e000b412-13c5-49d8-9a86-4116a760f816,CONCEPT-SET,16,,
f9840000-0000-4000-8000-000000000984,365d31d1-d35b-4b60-9092-c247b9c349fb,CONCEPT-SET,17,,
f9840000-0000-4000-8000-000000000984,28651b1d-36f3-4ac8-9b69-f5dda69fa732,CONCEPT-SET,18,,
f9840000-0000-4000-8000-000000000984,12831e89-5872-4356-b250-a24f2aa3cbdd,CONCEPT-SET,19,,
f9840000-0000-4000-8000-000000000984,7333c0b1-f270-4cde-acce-205729a83423,CONCEPT-SET,20,,
f9840000-0000-4000-8000-000000000984,a1e647bb-1ce6-430b-9292-ff8f32997285,CONCEPT-SET,21,,
f9840000-0000-4000-8000-000000000984,290a5eb4-1a44-40cc-9001-74b7680e3950,CONCEPT-SET,22,,
f9840000-0000-4000-8000-000000000984,80036ac6-f5ad-436c-8bbf-80bebe5c0b72,CONCEPT-SET,23,,
f9840000-0000-4000-8000-000000000984,2993a97c-dfb2-4666-8c22-09c5178d8dc1,CONCEPT-SET,24,,
f9840000-0000-4000-8000-000000000984,23b4f5bd-e7c8-4ed9-9cf8-8c83be356842,CONCEPT-SET,25,,
f9840000-0000-4000-8000-000000000984,3ab971f2-8cdd-4f93-9921-84fb45770205,CONCEPT-SET,26,,
f9840000-0000-4000-8000-000000000984,5630b93f-dcb3-4366-b3da-909f1a13445c,CONCEPT-SET,27,,
f9840000-0000-4000-8000-000000000984,8ed31d60-2412-49bd-941b-c719d0cc8a71,CONCEPT-SET,28,,
f9840000-0000-4000-8000-000000000984,016ae142-9641-47e7-9497-748899440532,CONCEPT-SET,29,,
f9840000-0000-4000-8000-000000000984,660ed12f-99ff-4618-b9a3-366a3d1234ec,CONCEPT-SET,30,,
f9840000-0000-4000-8000-000000000984,cf2ee6f8-a231-4aa3-a045-15f13bb000b4,CONCEPT-SET,31,,
f9840000-0000-4000-8000-000000000984,70e1c7d5-3620-4728-96f2-57b971caf7c1,CONCEPT-SET,32,,
f9840000-0000-4000-8000-000000000984,831d9416-74c3-42ab-bb1f-6f4d9ed8358c,CONCEPT-SET,33,,
f9840000-0000-4000-8000-000000000984,d8d2f933-f7a9-4eb9-a74b-2247fa6daf41,CONCEPT-SET,34,,
f9840000-0000-4000-8000-000000000984,0f3bfd5a-7651-4b1e-8275-3346476f21af,CONCEPT-SET,35,,
f9840000-0000-4000-8000-000000000984,a7d8c58c-cd6b-4002-9ba3-390233af6fa6,CONCEPT-SET,36,,
f9840000-0000-4000-8000-000000000984,3794aea8-b6dd-4a64-95e6-8d54b0568987,CONCEPT-SET,37,,
f9840000-0000-4000-8000-000000000984,20f0bc50-a7ac-430f-b692-79f043485140,CONCEPT-SET,38,,
f9840000-0000-4000-8000-000000000984,deb5f974-e2de-41bd-ba67-12ac58998a79,CONCEPT-SET,39,,
f9840000-0000-4000-8000-000000000984,4d9c1237-2785-42ca-8f02-f0b9c41c0c22,CONCEPT-SET,40,,
f9840000-0000-4000-8000-000000000984,4f901603-6c5d-49d5-bfde-6dd9267665cc,CONCEPT-SET,41,,
