Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,7ba3aa21-cc56-47ca-bb4d-a60549f666c0,CONCEPT-SET,1,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,ea771a12-c8e4-49fd-a09c-6d6d8796aaa4,CONCEPT-SET,2,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,74156b5c-b1b0-4432-b073-a8af65ebcb11,CONCEPT-SET,3,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,e6a43c30-71ac-4ec6-9757-c78a50ee8e8b,CONCEPT-SET,4,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,115b9e98-0bb4-4791-afa6-d21d071cfd87,CONCEPT-SET,5,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,e5f6a7b8-c9d0-42f3-93e4-2b0a9c8d7e05,CONCEPT-SET,6,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,a6d7f9b3-2c5e-48d1-93e4-7f8a6b5c2d02,CONCEPT-SET,7,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,70b7402d-fdfe-4707-94d8-5eb5780ffde5,CONCEPT-SET,8,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,abe0d9a9-5b90-4029-b2bc-c3077c57c884,CONCEPT-SET,9,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,0f819fa7-864f-4f60-a50a-03d0b82daa73,CONCEPT-SET,10,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,51a0ef18-9fba-48c3-9e0e-9b0b6dcd3410,CONCEPT-SET,11,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,f888bfc1-1f38-47e3-8470-758a011ff6a3,CONCEPT-SET,12,,
4bf3f465-ac91-44fa-9b1f-173daf0c89a0,5ef1c8d7-ce23-458a-9a11-4b8562c25e10,CONCEPT-SET,13,,
a10612bc-373d-44cf-8a1a-277e65f7fcf9,51ae5e4d-b72b-4912-bf31-a17efb690aeb,CONCEPT-SET,1,,
a10612bc-373d-44cf-8a1a-277e65f7fcf9,9d7c8a4b-2c08-4f54-b2dd-5c5fd325029c,CONCEPT-SET,2,,
a10612bc-373d-44cf-8a1a-277e65f7fcf9,707b1d1e-d7f7-4dad-a382-3734e35933c3,CONCEPT-SET,3,,
d736c954-601f-4d8b-b778-6df7f3ed3767,bf3a08c6-cbe6-4f00-8e06-5f5437790b85,CONCEPT-SET,1,,
d736c954-601f-4d8b-b778-6df7f3ed3767,b96959db-2106-4ce7-b39b-6fcb2ca88cda,CONCEPT-SET,2,,
