Uuid,Privilege name,Description,_order:1000
226b62b1-deac-4e2a-8e89-4f66c9a19423,O3 Implementer Tools,Allows access to the O3 Implementer Tools features,
079c1025-6892-469d-aa4d-6ad2003f07d4,Preview Forms,Allows user to preview Form Entry pages from files. This should be restricted to trusted users only.,
f47ac43d-2328-4f0e-948d-88062e0d6345,Manage Cohort Definitions,Add/Edit/Remove Cohort Definitions,
35360a98-eebf-4cc0-812d-80b6025cfea3,Manage Order Set Attribute Types,Able to add/edit/retire order set attribute types,
e2b4b047-e595-4456-8ae1-8c16c4f23adc,Get Diagnoses Attribute Types,Able to get diagnoses attribute types,
bfc2eca6-fa0a-4700-b5ba-3bbe5a44413d,Get Order Set Attribute Types,Able to get order set attribute types,
eba24ae0-d3e3-4083-84bf-5c4d7eb97e3d,Task: dispensing.create.dispense,Allows user to Dispense Medication,
58f14517-6635-42d3-b1ca-99f464eaea2b,Task: dispensing.create.dispense.allowSubstitutions,"Allows user to modify the Quantity, Drug, Formulation and Dose Instructions when Dispensing",
cde0218e-c3e8-465a-85fd-ef478abbb696,Task: dispensing.edit.dispense,Allows user to edit an existing Medication Dispense,
d0e540c6-619b-4943-9431-fd1fbf494d74,Task: dispensing.delete.dispense,Allows user to delete an existing Medication Dispense,
3c788e2a-a1ec-442a-a1ed-f5d27d8392b5,Task: dispensing.delete.dispense.ifCreator,"Allows user to delete an existing Medication Dispense, *but only* if they created it originally",
bfd21c4f-008d-49f4-b96b-db14cb949c0f,Manage Metadata Mapping,Able to manage metadata mappings,
142ecdca-d3a8-11ed-afa1-0242ac120002,View Metadata Via Mapping,Able to view metadata via a mapping,
3f88daf3-f8c0-4be0-bd56-a58c918f02f6,Share Metadata,Allows user to export and import metadata,
4d585f07-cabf-4d1a-97a2-a2eb74e68347,Manage Address Hierarchy,Allows user to access/modify the defined address hierarchy,
d23f430d-570c-41ac-bddd-ac1057e2fd21,Manage RESTWS,Allows to configure RESTWS module,
16e12803-57bf-419a-8d17-9854db93674b,View RESTWS,Gives access to RESTWS in administration,
d2f70c2b-077a-4dae-b108-5ab78fc28ba5,Manage OWA,"Allows to configure OWA module, upload modules",
f35d498f-9bbf-40df-a2b8-bcb4cebd1ec4,Manage Identifier Sources,"Allows user add, edit, and remove identifier sources",
95f24ca5-4385-4d97-8b50-5b088370fb16,Manage Auto Generation Options,"Allows user add, edit, and remove auto-generation options",
da26202b-950d-4f97-a12d-1401827f6c60,Generate Batch of Identifiers,Allows user to generate a batch of identifiers to a file for offline use,
5d4b581a-6a5f-4cb8-b9f3-a79c66bed0d0,Upload Batch of Identifiers,Allows user to upload a batch of identifiers,
efb8d8d5-5540-4055-b065-04085cab6398,View Token Registrations,Allows to view token registrations,
c1d94406-eb53-4dfa-95c2-5b8dd8c184b3,Manage Token Registrations,Allows to create/update/delete token registrations,
34dc3c75-2e87-46ff-a328-c7861d0872f9,View Calculations,Allows to view Calculations,
505e901e-f0c8-4234-8e19-d7b9dcd933e3,Manage Reports,"Base privilege for add/edit/delete reporting definitions. This gives access to the administrative menus, but you need to grant additional privileges to manage each specific type of reporting definition",
f333b0d8-d0e2-427f-8858-f2b05866be21,Manage Report Definitions,Add/Edit/Remove Report Definitions,
b37cc8b5-06dc-4876-9f38-7fa1d270ee8c,Manage Data Set Definitions,Add/Edit/Remove Data Set Definitions,
ebd9f8fe-f3f1-4742-91ec-1c23dc2ccb82,Manage Indicator Definitions,Add/Edit/Remove Indicator Definitions,
3f3ef7d8-ac8d-4f68-ab72-ab238a879d75,Manage Dimension Definitions,Add/Edit/Remove Dimension Definitions,
5486ba0b-4d3d-46b5-ab82-a6a226feb9c4,Manage Report Designs,Add/Edit/Remove Report Designs,
6b19d4ee-f6ae-4191-a60f-a70fcef5c461,Manage Scheduled Report Tasks,Manage Task Scheduling in Reporting Module,
0a12b76e-2175-4eb7-af0b-498129ea1cac,Run Reports,Schedule the running of a report,
a98c5b27-8d44-42b6-9b84-626cbcc5a227,Manage OrderTemplates,Base privilege for add/edit/delete order templates,
2258e376-e1f9-4e89-a06b-b9fb815bd470,app:adt,Permite acceder a las superficies administrativas de admision para buscar y registrar pacientes.,
151de993-1e40-4fdd-b5fc-22edcfc90008,app:appointments,Permite acceder a la agenda y a la gestion operativa de citas del frontend.,
a61a614a-bd39-4a89-85a4-e6d08b5a3cc1,app:service-queues,Permite acceder a colas de atencion y a la gestion operativa del flujo de pacientes.,
2086cd99-6fd5-45db-a344-aa46ce89fbad,app:laboratory,Permite acceder al tablero de laboratorio y al registro de ordenes y resultados segun el flujo habilitado.,
c54b6749-cf2d-46a9-8200-97c37ea61293,app:clinical.chart,Permite acceder a la historia clinica del paciente y a las superficies clinicas protegidas del chart.,
0aa375af-f9a8-4288-9c37-76cb283ae151,app:cred.antecedentes,Permite ver el resumen y listados de antecedentes patologicos del menor.,
5916bac6-44e2-42af-9b7b-c53e68243505,app:cred.antecedentes.edit,"Permite registrar, editar y eliminar antecedentes patologicos y condiciones relacionadas.",
b0b5445a-08f2-463d-901f-79aa44efea0e,app:cred.cursoVida,Permite ver la navegacion general y los componentes de lectura del modulo CRED / Curso de Vida del Nino.,
1ed0cb12-1f36-4ab8-a554-8271b082d2d0,app:cred.cursoVida.edit,"Permite registrar y editar acciones generales del flujo CRED, incluyendo controles, citas y selector de formularios.",
cd5ea392-dfb7-4745-9903-4296285083b5,app:cred.earlyStim,Permite ver el dashboard de estimulacion temprana y los componentes de lectura de desarrollo infantil.,
8abd953f-c572-4e99-8e95-516732248013,app:cred.earlyStim.edit,"Permite registrar o editar evaluaciones y formularios de estimulacion temprana, TEPSI y Test Peruano.",
93b5349c-ae50-4bee-bf3c-87155e1e5fac,app:cred.immunization,Permite ver el dashboard de inmunizacion infantil y sus componentes de lectura dentro de CRED.,
d23e3e33-5adb-4a7e-b58b-fa59d7ee9ee6,app:cred.immunization.edit,"Permite registrar, actualizar o eliminar inmunizaciones y reacciones adversas desde las superficies integradas con CRED.",
dff30659-5e91-4ea4-8442-e34793f584bf,app:cred.neonatal,"Permite ver el dashboard neonatal y sus componentes de lectura, incluyendo monitoreo, registro perinatal y consejeria.",
28872254-d7a8-4e6e-8376-20c12ca5afa9,app:cred.neonatal.edit,Permite registrar o editar formularios y acciones clinicas del area neonatal y perinatal.,
4845724d-77ae-468d-bc45-906515448848,app:cred.nutrition,"Permite ver el dashboard y widgets de nutricion infantil, anemia, suplementacion y tamizajes relacionados.",
4ae30d5d-795c-4342-b529-2b00eda75220,app:cred.nutrition.edit,"Permite registrar o editar formularios y acciones de nutricion infantil, anemia, suplementacion y tamizajes.",
bf0fb4fc-096d-4823-96f9-b2039d341b62,app:cred.wellChild,Permite ver el dashboard Control de Nino Sano y sus componentes de lectura.,
75f5e668-d26b-4647-8e83-7440306b87fe,app:cred.wellChild.edit,Permite registrar o editar formularios y acciones clinicas asociadas al dashboard Control de Nino Sano.,
a7d6b422-d97a-47ac-a071-484942bfab10,app:clinical.chart.summary,Permite ver el resumen general del paciente dentro de la historia clinica.,
4221e393-e02d-422a-8d28-13089f03ade8,app:clinical.chart.vitals,Permite ver signos vitales y datos biometricos del paciente dentro del chart.,
3700438c-f5dc-44c6-a87d-c4c47cc074cb,app:clinical.chart.vitals.edit,Permite registrar o editar signos vitales y datos biometricos desde el chart.,
c232101d-da54-4b1f-bdc0-25d0e567362c,app:clinical.chart.medications,Permite ver medicamentos activos e historicos del paciente dentro del chart.,
99a8a37f-3b45-4701-ac71-4c4bb71bda26,app:clinical.chart.medications.edit,Permite registrar o editar ordenes de medicamentos desde el chart.,
55ba97ce-74e6-4e4b-bedb-65244073544d,app:clinical.chart.orders,Permite ver ordenes clinicas del paciente dentro del chart.,
759bf557-f864-4752-98ae-07ec7250d7c5,app:clinical.chart.orders.edit,Permite crear o editar ordenes clinicas desde el chart.,
c9465731-c557-40d3-9f1d-a7f02a2049ec,app:clinical.chart.results,Permite ver resultados y visores asociados al paciente dentro del chart.,
c5d35b18-7b29-4a4e-861b-44b4f7d02ab1,app:clinical.chart.results.edit,Permite registrar o editar resultados clinicos desde el chart.,
56b059e7-9420-456a-a4c9-36053f1e1b5d,app:clinical.chart.visits,Permite ver visitas y atenciones previas del paciente dentro del chart.,
6916d287-4332-46f3-a57f-21633dc1282e,app:clinical.chart.visits.edit,"Permite iniciar, cerrar, editar o eliminar visitas desde el chart.",
fd349577-86bb-4a4f-af15-9ac313b7b0f4,app:clinical.chart.appointments,Permite ver consultas y citas del paciente dentro del chart.,
613996d9-a963-4cd9-bfb5-b118c6b8f9bd,app:clinical.chart.appointments.edit,"Permite crear, editar o cancelar consultas y citas del paciente desde el chart.",
b54b5893-278f-4cfb-84be-fb14da1fee09,app:clinical.chart.allergies,Permite ver alergias del paciente dentro del chart.,
d6728754-0459-474c-ac8b-e448f41c8614,app:clinical.chart.allergies.edit,"Permite registrar, editar o eliminar alergias del paciente desde el chart.",
c088a9a2-05d2-4c1a-a124-667d6ffb41a1,app:clinical.chart.conditions,"Permite ver antecedentes, problemas y diagnosticos del paciente dentro del chart.",
eed47113-ca46-457e-873e-6a8ca452725a,app:clinical.chart.conditions.edit,"Permite registrar, editar o eliminar antecedentes, problemas y diagnosticos desde el chart.",
9bf02764-fc7f-4daa-933a-d39bf0212d1e,app:clinical.chart.procedures,Permite ver procedimientos clinicos del paciente dentro del chart.,
e3d53d3b-697c-472a-9150-91afee5a9354,app:clinical.chart.procedures.edit,"Permite registrar, editar o eliminar procedimientos clinicos desde el chart.",
a74bfb09-b264-4952-81ed-c21d2ff871e7,app:clinical.chart.consultaExterna,Permite ver la seccion de consulta externa del paciente dentro del chart.,
c84fd776-9b29-429f-bd2a-2f7c4f22a040,app:clinical.chart.consultaExterna.edit,Permite registrar o editar informacion de consulta externa desde el chart.,
