Uuid,Role name,Description,Inherited roles,Privileges,_order:1000
75abd7e6-9dcd-446d-8468-04837f314c4f,Application: Register Appointments,Role for managing appointment registrations,,app:appointments;Get Providers;Appointments: Invite Providers; Manage Appointment Services; Manage Appointment Specialities; Manage Appointments; Manage Own Appointments; Reset Appointment Status; View Appointment Services; View Appointments,
71dcb611-756a-4ad3-a9bb-73b6cfe28066,Admision,Role for handling patient admissions,Application: Registers Patients; Application: Register Appointments,app:adt;app:service-queues;Get Providers;Get Queue Rooms;Get Queue Entries;Get Queues;Manage Queue Entries,
72dd34eb-0295-4684-ab3f-1ccb0cfaab20,Application: Gestionar Colas Servicio,Role for managing patient queue system,,app:service-queues;Get Providers;Get Queue Rooms;Get Queue Entries;Get Queues;Manage Queue Entries;Manage Queue Rooms;Manage Queues;Purge Queue Rooms;Purge Queue Entries;Delete HL7 Inbound Queue;Get HL7 Inbound Queue;Update HL7 Inbound Queue,
7f9a9321-0c35-4130-895c-dbca7401be64,Colas Servicio Medico,Role for managing patient queue system,,app:service-queues;Get Queue Rooms;Get Queue Entries;Get Queues;Get Providers,
68256ae6-d81c-4ef9-bda9-fc1471022cd3,Digitadores FUA,Role for FUA data entry clerks,,Fua Privilege;Read Fua;Manage Fua;Update Fua,
259bb7cb-571b-47ec-a9b1-638d0a242a85,Emergencia,Role for emergency module access,,app:emergency,
b91d4aff-3847-40c2-a9d0-45a687e007eb,Interconsultas,Role for interconsultation module access,,app:interconsultas,
1a988976-55af-4284-baaf-991dd9fee426,Laboratorista,Role for laboratory staff access,,app:laboratory;Get Orders;View Orders;Add Orders;Edit Orders;Get Order Types;View Order Types;Get Care Settings;Get Patients;View Patients;Get People;View People;Get Person Attribute Types;Get Concepts;View Concepts;Get Observations;View Observations;Add Observations;Edit Observations;Get Encounters;View Encounters;Add Encounters;Edit Encounters;Get Encounter Types;Get Forms;View Forms;Form Entry;Get Providers;Get Locations;View Locations,
2ca19aca-3d15-43f3-9fff-14e7c5423700,Farmacia,Role for dispensing module access,,app:dispensing;Task: dispensing.create.dispense;Get Orders;View Orders;Add Orders;Edit Orders;Get Order Types;View Order Types;Get Care Settings;Get Patients;View Patients;Get People;View People;Get Person Attribute Types;Get Visits;Get Encounters;View Encounters;Get Encounter Types;Get Allergies;View Allergies;Get Conditions;Get Diagnoses;Get Concepts;View Concepts;Get Providers;Get Locations;View Locations;Get Global Properties,
a0c2e9ea-f438-4054-8c9d-37121d6f643a,Tamizajes,Role for screening module access,,app:tamizajes,
69384f73-6365-46db-a7f3-2b5372fba5e6,Hospitalizacion,Role for hospitalization module access,,app:ward,
83cfb5b1-93fc-46fa-8da8-c47cc2824203,Listas de pacientes,Role for patient lists module access,,app:patient-lists,
ebd18591-eb63-48f7-b310-589a79cadf08,Facturacion,Role for billing module access,,app:billing,
a2ac513a-26c4-40bb-b948-e8825f9fca5d,Seguimiento de casos,Role for case monitoring module access,,app:case-monitoring,
