Appointment Service Uuid,Appointment Service,Appointment Location Uuid,Resolution,Queue Uuid,Queue Location Uuid,Queue,Required Visit Type Uuid,Required Visit Type,Reason
7ba3aa21-cc56-47ca-bb4d-a60549f666c0,Consulta ambulatoria por médico general,35d2234e-129a-4c40-abb2-1ae0b2400001,automatic,d4e5f6a7-b8c9-40d1-e2f3-a4b5c6d7e8f9,35d2234e-129a-4c40-abb2-1ae0b2400001,Cola de Consulta Externa,f70a865a-6cae-4d04-8d05-acb5bf88fa16,Consulta Ambulatoria - Medicina General,Servicio y ubicación coinciden de forma única.
1ef43565-9c96-4f58-bfd2-c864c7cedac1,Teleconsulta por médico,35d2234e-129a-4c40-abb2-1ae0b2400001,manual-required,,,,,,No existe una cola configurada con el mismo servicio y ubicación.
4ec5c4fe-cfe0-48ff-9e4d-2f201078feae,Atención ambulatoria por enfermera(o),35d2234e-129a-4c40-abb2-1ae0b2400001,manual-required,,,,,,No existe una cola configurada con el mismo servicio y ubicación.
c8d4f6e2-5b7a-41d9-93e4-7f6a8b3c2d01,Atención ambulatoria por psicólogo(a),35d2234e-129a-4c40-abb2-1ae0b2400001,manual-required,,,,,,No existe una cola configurada con el mismo servicio y ubicación.
a6d7f9b3-2c5e-48d1-93e4-7f8a6b5c2d02,Atención ambulatoria por obstetra,35d2234e-129a-4c40-abb2-1ae0b2400004,automatic,c9d0e1f2-a3b4-45c6-d7e8-f9a0b1c2d3e4,35d2234e-129a-4c40-abb2-1ae0b2400004,Cola de Centro Obstétrico,19fa588e-3185-41c2-a5d1-21c3a4af944b,Consulta Ambulatoria - Obstetricia,Servicio y ubicación coinciden de forma única.
b3c2d4e5-f6a7-48d9-93e1-8f7a6b5c4d02,Atención ambulatoria por cirujano dentista,35d2234e-129a-4c40-abb2-1ae0b2400001,automatic-shared,d4e5f6a7-b8c9-40d1-e2f3-a4b5c6d7e8f9,35d2234e-129a-4c40-abb2-1ae0b2400001,Cola de Consulta Externa,ae40aab4-c57d-4bb1-a27e-2cacc24dd07f,Consulta Ambulatoria - Odontología,La atención odontológica comparte explícitamente la cola operativa de Consulta Externa en la misma UPSS y conserva su tipo de visita especializado.
d4e5f6a7-b8c9-41e2-93f3-1a9b8c7d6e04,Atención en tópico de inyectables y nebulizaciones,35d2234e-129a-4c40-abb2-1ae0b2400001,manual-required,,,,,,No existe una cola configurada con el mismo servicio y ubicación.
f7a8b9c0-d1e2-43f4-93e5-3b1a9c8d7e06,Atención inmediata del recién nacido,35d2234e-129a-4c40-abb2-1ae0b2400004,manual-required,,,,,,No existe una cola configurada con el mismo servicio y ubicación.
115b9e98-0bb4-4791-afa6-d21d071cfd87,Hospitalización de Cirugía General,35d2234e-129a-4c40-abb2-1ae0b2400005,automatic,d0e1f2a3-b4c5-46d7-e8f9-a0b1c2d3e4f5,35d2234e-129a-4c40-abb2-1ae0b2400005,Cola de Centro Quirúrgico,f8238c67-4514-46d2-87d0-330b64c76311,Hospitalización - Cirugía General,Servicio y ubicación coinciden de forma única.
e6a43c30-71ac-4ec6-9757-c78a50ee8e8b,Procedimientos de Laboratorio Clínico Tipo II-1,35d2234e-129a-4c40-abb2-1ae0b2400006,automatic,f6a7b8c9-d0e1-42f3-a4b5-c6d7e8f9a0b1,35d2234e-129a-4c40-abb2-1ae0b2400006,Cola de Laboratorio,04ffb8cf-1761-42bb-9881-1150fdfbbc2d,Consulta Diagnóstica,Servicio y ubicación coinciden de forma única.
70b7402d-fdfe-4707-94d8-5eb5780ffde5,Ecografía general y Doppler,35d2234e-129a-4c40-abb2-1ae0b2400013,automatic,e1f2a3b4-c5d6-47e8-f9a0-b1c2d3e4f5a6,35d2234e-129a-4c40-abb2-1ae0b2400013,Cola de Diagnóstico por Imágenes,04ffb8cf-1761-42bb-9881-1150fdfbbc2d,Consulta Diagnóstica,Servicio y ubicación coinciden de forma única.
74156b5c-b1b0-4432-b073-a8af65ebcb11,Atención en farmacia clínica,35d2234e-129a-4c40-abb2-1ae0b2400007,automatic,e5f6a7b8-c9d0-41e2-f3a4-b5c6d7e8f9a0,35d2234e-129a-4c40-abb2-1ae0b2400007,Cola de Farmacia,110001d9-7f3a-4e7b-91a2-580b216a7c42,Dispensación de Medicamentos,Servicio y ubicación coinciden de forma única.
dcaa59d1-64f2-45f5-a930-2ccc0ef37e61,Terapia de rehabilitación,35d2234e-129a-4c40-abb2-1ae0b2400010,manual-required,,,,,,El concepto de servicio no coincide; requiere selección explícita sin inferir por nombre.
89bde58b-2161-4095-8e52-0d8b5003012b,Sesión de hemodiálisis,35d2234e-129a-4c40-abb2-1ae0b2400011,manual-required,,,,,,El concepto de servicio no coincide; requiere selección explícita sin inferir por nombre.
3663f478-80fb-4585-b92f-7f82873198ee,Atención nutricional,35d2234e-129a-4c40-abb2-1ae0b2400012,manual-required,,,,,,El concepto de servicio no coincide; requiere selección explícita sin inferir por nombre.
