Appointment Service Uuid,Appointment Service,Status,NTS 249 Item,NTS 249 Prestacion,Scheduling Category Uuid,Scheduling Category,Category Basis,Appointment Location Uuid,Appointment Location,Arrival Policy,Queue Uuid,Queue,Queue Service Concept Uuid,Queue Location Uuid,Required Visit Type Uuid,Required Visit Type,Reason
7ba3aa21-cc56-47ca-bb4d-a60549f666c0,Consulta ambulatoria por médico general,enabled,54,Consulta ambulatoria por médico general,9f2a8cd0-32c6-4844-8df7-1ac9c4d79943,Medicina General,local-scheduling,35d2234e-129a-4c40-abb2-1ae0b2400001,UPSS - CONSULTA EXTERNA,queue-optional,d4e5f6a7-b8c9-40d1-e2f3-a4b5c6d7e8f9,Cola de Consulta Externa,51ce03e2-8987-4431-9e42-f8adca946c2c,35d2234e-129a-4c40-abb2-1ae0b2400001,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09,Atención Ambulatoria,Prestación ambulatoria que usa la cola compartida de Consulta Externa.
1ef43565-9c96-4f58-bfd2-c864c7cedac1,Teleconsulta por médico general,enabled,219,Teleconsulta por médico general,9f2a8cd0-32c6-4844-8df7-1ac9c4d79943,Medicina General,local-scheduling,35d2234e-129a-4c40-abb2-1ae0b2400001,UPSS - CONSULTA EXTERNA,direct,,,,,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09,Atención Ambulatoria,La consulta remota no requiere una línea de espera física.
4ec5c4fe-cfe0-48ff-9e4d-2f201078feae,Atención ambulatoria por enfermera(o),enabled,137,Atención ambulatoria por enfermera(o),,,profession,35d2234e-129a-4c40-abb2-1ae0b2400001,UPSS - CONSULTA EXTERNA,queue-optional,d4e5f6a7-b8c9-40d1-e2f3-a4b5c6d7e8f9,Cola de Consulta Externa,51ce03e2-8987-4431-9e42-f8adca946c2c,35d2234e-129a-4c40-abb2-1ae0b2400001,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09,Atención Ambulatoria,Enfermería es una profesión y comparte la cola de Consulta Externa.
c8d4f6e2-5b7a-41d9-93e4-7f6a8b3c2d01,Atención ambulatoria por psicólogo(a),enabled,135,Atención ambulatoria por psicólogo(a),9c8b7a6d-5e4f-43c1-9a2b-8d3e6f5c2a10,Salud Mental,local-scheduling,35d2234e-129a-4c40-abb2-1ae0b2400001,UPSS - CONSULTA EXTERNA,queue-optional,d4e5f6a7-b8c9-40d1-e2f3-a4b5c6d7e8f9,Cola de Consulta Externa,51ce03e2-8987-4431-9e42-f8adca946c2c,35d2234e-129a-4c40-abb2-1ae0b2400001,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09,Atención Ambulatoria,Salud Mental es una categoría local de agenda y no un VisitType.
a6d7f9b3-2c5e-48d1-93e4-7f8a6b5c2d02,Atención ambulatoria por obstetra,enabled,140,Atención ambulatoria por obstetra,,,profession,35d2234e-129a-4c40-abb2-1ae0b2400001,UPSS - CONSULTA EXTERNA,queue-optional,d4e5f6a7-b8c9-40d1-e2f3-a4b5c6d7e8f9,Cola de Consulta Externa,51ce03e2-8987-4431-9e42-f8adca946c2c,35d2234e-129a-4c40-abb2-1ae0b2400001,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09,Atención Ambulatoria,La atención por obstetra pertenece a Consulta Externa y no a Centro Obstétrico.
b3c2d4e5-f6a7-48d9-93e1-8f7a6b5c4d02,Consulta ambulatoria por cirujano dentista general,enabled,142,Consulta ambulatoria por cirujano dentista general,a0d4e64e-eb63-4271-bdf1-ffa10392c282,Odontología general,local-scheduling,35d2234e-129a-4c40-abb2-1ae0b2400001,UPSS - CONSULTA EXTERNA,queue-optional,d4e5f6a7-b8c9-40d1-e2f3-a4b5c6d7e8f9,Cola de Consulta Externa,51ce03e2-8987-4431-9e42-f8adca946c2c,35d2234e-129a-4c40-abb2-1ae0b2400001,b1f0e8a1-9c5d-4f0e-8892-81f3140fbc09,Atención Ambulatoria,Odontología general es una categoría local; CBMF queda reservada al servicio especialista.
d4e5f6a7-b8c9-41e2-93f3-1a9b8c7d6e04,Aplicación de inyectables,retired,520,Aplicación de inyectables,,,none,35d2234e-129a-4c40-abb2-1ae0b2400001,UPSS - CONSULTA EXTERNA,not-applicable,,,,,,,Se retira hasta confirmar la UPSS Tópico de Atención en Salud y su cartera local.
e5f6a7b8-c9d0-42f3-93e4-2b0a9c8d7e05,Atención de urgencias y emergencias,retired,N/A,Flujo no programable,,,none,35d2234e-129a-4c40-abb2-1ae0b2400003,UPSS - EMERGENCIA,not-applicable,,,,,,,Emergencia se inicia como atención inmediata y no como cita programada.
f7a8b9c0-d1e2-43f4-93e5-3b1a9c8d7e06,Atención inmediata del recién nacido,retired,9-10,Atención inmediata del recién nacido,14106bb7-dad6-4446-809d-737f4c128ae3,Pediatría,rne-medical,35d2234e-129a-4c40-abb2-1ae0b2400004,UPSS - CENTRO OBSTÉTRICO,not-applicable,,,,,,,Es una atención inmediata vinculada al parto y no una cita programable.
115b9e98-0bb4-4791-afa6-d21d071cfd87,Hospitalización de cirugía general,enabled,296,Hospitalización de cirugía general,d8e2f4a0-b5c3-41d7-942a-6c4a1e9f3b22,Cirugía General,rne-medical,35d2234e-129a-4c40-abb2-1ae0b2400002,UPSS - HOSPITALIZACIÓN,direct,,,,,e4c8b6d9-7f3a-4e7b-91a2-58b9f6c2d4b5,Hospitalización,El ingreso programado abre hospitalización sin pasar por la cola de Centro Quirúrgico.
